feature,importance
systolic_bp,0.421495641973067
hba1c,0.279846982184391
diastolic_bp,0.10004980203251346
glucose_fasting,0.09470758241333815
bmi,0.050723204056990094
creatinine,0.041082594386504974
heart_rate,0.012094192953195422
