feature,importance
systolic_bp,0.3577939569950104
hba1c,0.33444494009017944
glucose_fasting,0.08618677407503128
diastolic_bp,0.08578092604875565
bmi,0.056060776114463806
creatinine,0.04897287115454674
heart_rate,0.030759651213884354
