roc_auc,pr_auc,accuracy,precision,recall,specificity,f1,brier,train_seconds,n_train,n_val,n_test,brier_platt,brier_isotonic,ece_raw,ece_platt,ece_isotonic,calibration_method,seed,model
0.889138333185314,0.9003566408166905,0.7924836601307189,0.8060230292294066,0.7589658048373644,0.8246597277822257,0.781786941580756,0.13448317082719718,0.38,11419,2447,2448,0.13658861772411182,0.13118670703079713,0.041092430877664406,0.06252957105163758,0.011757235561749046,isotonic,42,lr
0.891763953281057,0.9018134688395547,0.7912581699346405,0.8093525179856115,0.7506255212677231,0.8302642113690952,0.7788836001730852,0.13302103317759212,0.38,11419,2447,2448,0.13526262793162652,0.12873777171320488,0.04677482430162953,0.06915441547055369,0.016385715910120995,isotonic,52,lr
0.8744042773835417,0.887006674809204,0.7687908496732027,0.7778753292361721,0.7389491242702252,0.7974379503602882,0.757912745936698,0.1440907241796372,0.31,11419,2447,2448,0.147252394120351,0.13900949773774193,0.06307739044897961,0.07469956260443253,0.026670974057555228,isotonic,62,lr
0.8753698538480492,0.8890367860301971,0.7704248366013072,0.7908675799086758,0.7222685571309424,0.8166533226581265,0.7550130775937227,0.14289832767487057,0.29,11419,2447,2448,0.1467088137593117,0.1377996346541474,0.04815244636308568,0.07687580375937894,0.024834802619185976,isotonic,72,lr
0.8913993580185249,0.90174818639225,0.7790032679738562,0.7948028673835126,0.7397831526271893,0.8166533226581265,0.7663066954643628,0.13317727473941637,0.28,11419,2447,2448,0.13648372595678376,0.1276753338733614,0.05681289304460716,0.07207394051874114,0.012145888089331891,isotonic,82,lr
0.9362078486809464,0.9483846658204644,0.8684640522875817,0.961093585699264,0.762301918265221,0.9703763010408326,0.8502325581395349,0.09392716062954445,2.99,11419,2447,2448,0.09356403392971709,0.09188943938390955,0.05491506869513435,0.03615852628249315,0.0181380348238507,isotonic,42,rf
0.9366545780410818,0.9497741493442378,0.8656045751633987,0.9493801652892562,0.7664720600500416,0.9607686148919136,0.8481772035071528,0.09363671568640186,3.02,11419,2447,2448,0.09216606928577499,0.09214064440120391,0.04292944350083185,0.024908135342551218,0.01539138901845802,isotonic,52,rf
0.928819786437991,0.9432121620069591,0.860702614379085,0.9281437125748503,0.7756463719766472,0.9423538831064852,0.8450704225352113,0.09923853145493614,2.97,11419,2447,2448,0.10011351029792043,0.09735610222017042,0.04058419682795643,0.03627856822542984,0.014494616428845425,isotonic,62,rf
0.929651811524282,0.9442298010745109,0.8562091503267973,0.9568500539374326,0.7397831526271893,0.9679743795036029,0.8344308560677328,0.09880602244087956,2.97,11419,2447,2448,0.097417459109995,0.09736222812464877,0.03946556106866161,0.027140308385905743,0.01983304611978012,isotonic,72,rf
0.9378845862344588,0.9509443780856532,0.8717320261437909,0.9595015576323987,0.7706422018348624,0.9687750200160128,0.8547641073080481,0.09214540250329775,2.97,11419,2447,2448,0.09006985456669435,0.08941843843782048,0.044984647084923765,0.026108052592823703,0.0168557247201591,isotonic,82,rf
