feature,importance
systolic_bp,0.10191719595389315
hba1c,0.03258190586172238
glucose_fasting,0.007259655482132477
diastolic_bp,0.004722150937747305
creatinine,0.004409390303885541
bmi,0.0032833183635935237
heart_rate,0.0024385973353862056
